Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event
Laurent Burtz,M,23.0,180.0,67.0,France,FRA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, Slalom"
Pierino Gabetti,M,23.0,170.0,59.0,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Weightlifting,Weightlifting Men's Featherweight
Ivan Rieder,M,25.0,180.0,69.0,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Individual
Voitto Valdemar Hellstn,M,28.0,160.0,72.0,Finland,FIN,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 400 metres Relay
Shigeaki Ushijima,M,28.0,177.0,79.0,Japan,JPN,2006 Winter,2006,Winter,Torino,Luge,Luge Men's Singles
Hannah Darling,F,20.0,174.0,72.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens
Henry Taylor,M,21.0,165.0,66.0,Great Britain,GBR,1906 Summer,1906,Summer,Athina,Swimming,Swimming Men's 4 x 250 metres Freestyle Relay
Eva Farkas,F,15.0,167.0,60.0,Hungary,HUN,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres"
Galina Atayeva,F,24.0,155.0,48.0,Turkmenistan,TKM,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Extra-Lightweight
"Debra Rae ""Debbie"" Armstrong",F,24.0,165.0,62.0,United States,USA,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Women's Super G
Zohra Ez Zahraoui,F,32.0,165.0,51.0,Morocco,MAR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight
Ann Margaret Williams (-Griffiths),F,26.0,178.0,60.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Women's 1,500 metres"
Sren Fjordback Sndergaard,M,22.0,177.0,63.0,Denmark,DEN,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Welterweight
Jan Lipowski,M,35.0,168.0,68.0,Poland,POL,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing,Alpine Skiing Men's Slalom
Kristen Michele Talbot (-Peck),F,21.0,160.0,63.0,United States,USA,1992 Winter,1992,Winter,Albertville,Speed Skating,Speed Skating Women's 500 metres
Julio Arango Pagnamenta,M,18.0,173.0,68.0,Colombia,COL,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 400 metres Freestyle
Giuseppe Di Capua,M,30.0,155.0,53.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs
Marianne Weins,F,21.0,167.0,55.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Diving,Diving Women's Platform
Ferenc Zoltn Fzesi,M,32.0,196.0,96.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Handball,Handball Men's Handball
Sonia Emilia Marie Fahlin,F,23.0,176.0,62.0,Sweden,SWE,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Individual Time Trial
Estella Meheux,F,18.0,180.0,54.0,Sierra Leone,SLE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 100 metres Hurdles
Pedro Jos Hernndez Duquesne,M,25.0,168.0,70.0,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Foil, Team"
Paula Jean Myers-Pope,F,17.0,162.0,51.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Diving,Diving Women's Platform
Jason Edward Lezak,M,28.0,193.0,98.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 50 metres Freestyle
Almas Dauletyarovich Uteshov,M,24.0,175.0,94.0,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Middle-Heavyweight
Stoyan Koev Stoyanov,M,25.0,170.0,70.0,Bulgaria,BUL,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Floor Exercise
Steffen Skel (-Sartor),M,21.0,186.0,95.0,Germany-2,GER,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Mixed (Men)'s Doubles
Svetlana Valeryevna Bazhanova,F,21.0,175.0,70.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Women's 5,000 metres"
Kristian James Thomas,M,23.0,180.0,79.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault
Patricia Olano Olano,F,18.0,171.0,58.0,Colombia,COL,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 800 metres Freestyle
Nils Rune Lindstrm,M,23.0,170.0,70.0,Sweden,SWE,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Giant Slalom
"Paulo Andr ""Paulo"" Jukoski da Silva",M,24.0,201.0,94.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball
Judit Fle,F,18.0,164.0,58.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Balance Beam
Lothar Knrzer,M,23.0,166.0,58.0,Germany,GER,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay
Tams Deutsch,M,22.0,188.0,80.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Backstroke
Larissa Maia Barata,F,17.0,160.0,43.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
Wolfgang Kremer,M,22.0,182.0,83.0,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Freestyle
Jay Paul Mortenson,M,21.0,190.0,86.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay
"James Edmund ""Jim"" Shea, Sr.",M,25.0,185.0,75.0,United States,USA,1964 Winter,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay
Cheah Tong Kim,M,19.0,163.0,64.0,Malaysia,MAS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 200 metres Breaststroke
Pl Cappelen,M,25.0,193.0,86.0,Norway,NOR,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball
Carrie Howe,F,27.0,168.0,54.0,United States,USA,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's Three Person Keelboat
Harry Jrgensen,M,22.0,188.0,82.0,Denmark,DEN,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Pairs
Joseph Coombs,M,28.0,185.0,80.0,Trinidad and Tobago,TTO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay
Jess Miguel Rolln Prada,M,24.0,187.0,87.0,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Water Polo,Water Polo Men's Water Polo
"Mrcio Rafael ""Rafinha"" Ferreira de Souza",M,22.0,172.0,67.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football
Cristina Ioriatti,F,27.0,170.0,59.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Archery,Archery Women's Team
"Angela Denise Coughlan (-Arusoo, -Sharp)",F,16.0,168.0,59.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Freestyle
Francisco Bojado Arvalos,M,17.0,167.0,57.0,Mexico,MEX,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Featherweight
Frdricque Rufin Goporo,M,22.0,175.0,74.0,Central African Republic,CAF,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball
"Leonhard ""Leo"" Pohl",M,27.0,183.0,73.0,Germany,GER,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay
"Magdalena Johanna Maria ""Marleen"" Veldhuis",F,25.0,182.0,67.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle
Yoshihiro Saito,M,24.0,170.0,66.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around
Larbi Bourrada,M,28.0,188.0,88.0,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon
Bjrn Olsen,M,21.0,169.0,70.0,Iceland,ISL,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Slalom
Wodzimierz Zbigniew Wachowicz,M,26.0,178.0,83.0,Poland,POL,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball
Ilian Vasiliev Aleksandrov,M,20.0,172.0,66.0,Bulgaria,BUL,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Horse Vault
Helena Pilejczyk (Majcher-),F,28.0,159.0,51.0,Poland,POL,1960 Winter,1960,Winter,Squaw Valley,Speed Skating,"Speed Skating Women's 1,000 metres"
Jean-Marie Neff,M,26.0,183.0,70.0,France,FRA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 50 kilometres Walk
Aschwin Wildeboer Faber,M,26.0,185.0,79.0,Spain,ESP,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Backstroke
Igor Nikolayevich Yerokhin,M,26.0,166.0,56.0,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 50 kilometres Walk
Gaetano Scala,M,27.0,178.0,76.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Modern Pentathlon,Modern Pentathlon Men's Team
Lieke Wevers,F,24.0,167.0,54.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around
"Margareth M. ""Maggie"" Connor",F,28.0,175.0,66.0,United States,USA,1992 Winter,1992,Winter,Albertville,Freestyle Skiing,Freestyle Skiing Women's Moguls
Daniele Matias Hyplito,F,23.0,147.0,51.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise
Sirkka Tellervo Polkunen (-Vilander),F,24.0,163.0,59.0,Finland,FIN,1952 Winter,1952,Winter,Oslo,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres
Federico van Ditmar,M,22.0,182.0,72.0,Argentina,ARG,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G
Valery Vladimirovich Kobelev,M,28.0,180.0,70.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual"
Dong Dong,M,19.0,168.0,57.0,China,CHN,2008 Summer,2008,Summer,Beijing,Trampolining,Trampolining Men's Individual
Richard Walter Crooker,M,20.0,198.0,93.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Eights
Svetlana Isakova,F,18.0,174.0,73.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Freestyle
Jyrki Olavi Lumme,M,31.0,185.0,92.0,Finland,FIN,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey
"Jurij ""Jure"" Zdovc",M,21.0,195.0,86.0,Yugoslavia,YUG,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball
Michael (-Mikhail) Kolganov,M,29.0,185.0,89.0,Israel,ISR,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, 500 metres"
Cristina Ioana Bujin,F,28.0,172.0,56.0,Romania,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Triple Jump
Gheorghe Cimpoia,M,28.0,174.0,70.0,Romania,ROU,1968 Winter,1968,Winter,Grenoble,Biathlon,Biathlon Men's 20 kilometres
Lszl Ipacs,M,26.0,182.0,93.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Middleweight
Mohamed Abdeldjalil Bourguieg,M,19.0,164.0,50.0,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar
Emil Hegle Svendsen,M,24.0,185.0,77.0,Norway,NOR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 12.5 kilometres Pursuit
Emmanuel Rubayiza,M,18.0,180.0,72.0,Rwanda,RWA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres
Stephen Edwards,M,22.0,170.0,69.0,Great Britain,GBR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Slalom
Jean-Pierre Schoebel,M,23.0,188.0,88.0,France,FRA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon
Mykhailo Vasylovych Artiukhov,M,26.0,166.0,53.0,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres
John Metcalf,M,26.0,179.0,73.0,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres Hurdles
Nagmeldin Ali Abubakr,M,18.0,172.0,63.0,Sudan,SUD,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres
Richard Sam Bera,M,16.0,185.0,75.0,Indonesia,INA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Individual Medley
Bao Chunlai,M,25.0,190.0,80.0,China,CHN,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Men's Singles
Patricia Herrera Fernndez,F,23.0,163.0,59.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo
Peter Zelinka,M,22.0,180.0,75.0,Czechoslovakia,TCH,1980 Winter,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 20 kilometres
Tian Guojun,M,23.0,188.0,84.0,China,CHN,2014 Winter,2014,Winter,Sochi,Speed Skating,"Speed Skating Men's 1,500 metres"
"Mathilde ""Hilde"" Gerg (-Gral)",F,18.0,172.0,70.0,Germany,GER,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Combined
Yuliya Siparenko,F,25.0,170.0,65.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Giant Slalom
Vera Stepanovna Lantratova (-Ganzhenko),F,21.0,174.0,72.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Women's Volleyball
Norman Henson,M,18.0,162.0,58.0,Philippines,PHI,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Horse Vault
Ba Dexin,M,23.0,185.0,80.0,China,CHN,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling
Anna Viktoria Dahlberg-Olsson,F,25.0,165.0,60.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres
Adriana Mihaela Nstase-Simion-Zamfir,F,24.0,160.0,55.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Women's Singles
Park Byeong-Ju,M,22.0,176.0,67.0,South Korea,KOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres
"Eelis Eenok ""Eeles"" Landstrm",M,24.0,185.0,81.0,Finland,FIN,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Pole Vault
Sai Yinjiya,M,27.0,170.0,79.0,China,CHN,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Middleweight, Greco-Roman"
"Theodore Strathy ""Ted"" Frost",M,28.0,194.0,93.0,United States,USA,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Pairs
Fernando Pinto Coelho de Almeida Bello,M,40.0,180.0,82.0,Faneca,POR,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed Two Person Keelboat
Deborah Compagnoni,F,23.0,165.0,62.0,Italy,ITA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Slalom
"Anthony ""Tony"" Waters",M,36.0,175.0,73.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey
Bernt Max Malion,M,22.0,206.0,93.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Men's Basketball
Arne Roald Risa,M,28.0,175.0,65.0,Norway,NOR,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 5,000 metres"
Pavel Kantorek,M,26.0,172.0,63.0,Czechoslovakia,TCH,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Marathon
Antnio Euzbio Dias Ferreira,M,24.0,173.0,62.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles
"Samuel ""Sam"" Nunuke Pera",M,35.0,165.0,101.0,Cook Islands,COK,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Heavyweight
"David ""Dave"" Smith",M,25.0,183.0,85.0,Australia,AUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
Sinikka Marja-Liisa Keskitalo (Leppl-),F,33.0,153.0,46.0,Finland,FIN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Marathon
Liv Grete Skjelbreid-Poire,F,23.0,167.0,58.0,Norway,NOR,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Women's 7.5 kilometres Sprint
Stalina Sergeyevna Demidova-Korzukhina,F,25.0,158.0,58.0,Soviet Union,URS,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Downhill
"Gerard ""Gerry"" Wiedel",M,39.0,178.0,79.0,Canada,CAN,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's Foil, Team"
Frantiek Nedvd,M,29.0,163.0,60.0,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Featherweight
Kieron McQuaid,M,21.0,180.0,74.0,Ireland,IRL,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial
Christopher Jeffrey M. Patte,M,22.0,176.0,66.0,France,FRA,2012 Summer,2012,Summer,London,Modern Pentathlon,Modern Pentathlon Men's Individual
Kyoko Oshima,F,22.0,149.0,39.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise
Sanne Martha van der Star,F,19.0,171.0,68.0,Netherlands,NED,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Women's 500 metres
Daichi Sawano,M,35.0,183.0,74.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Pole Vault
Gerhard Grimmer,M,32.0,174.0,70.0,East Germany,GDR,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres
Juan Guilherme Nunes Jesus,M,21.0,185.0,83.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football
Trudy Ann McIntosh,F,16.0,144.0,36.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Balance Beam
Lars Wichert,M,29.0,186.0,73.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours
Maik Eckhardt,M,38.0,187.0,90.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
Florin Paul Ionescu,M,29.0,180.0,67.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 3,000 metres Steeplechase"
Jorge Piccioli Carbonell,M,30.0,170.0,75.0,Argentina,ARG,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey
Cecilia Carranza Saroli,F,25.0,164.0,63.0,Argentina,ARG,2012 Summer,2012,Summer,London,Sailing,Sailing Women's One Person Dinghy
Feliks Malanowski,M,22.0,178.0,65.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 800 metres
Pape Ndiaye Souar,M,22.0,178.0,68.0,Senegal,SEN,2012 Summer,2012,Summer,London,Football,Football Men's Football
"Mun Kit ""Desmond"" Koh",M,19.0,175.0,61.0,Singapore,SGP,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Individual Medley
Jorge Zarif Neto,M,31.0,190.0,93.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed One Person Dinghy
Mitchel Steenman,M,24.0,201.0,94.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights
Gabriela Truc,F,18.0,157.0,45.0,Romania,ROU,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Individual All-Around
Jo Seong-Min,M,28.0,161.0,58.0,South Korea,KOR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around
Saori Kimura,F,25.0,185.0,65.0,Japan,JPN,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball
Mahmoud Alaa El-Din Mahmoud Alian,M,21.0,189.0,84.0,Egypt,EGY,2012 Summer,2012,Summer,London,Football,Football Men's Football
Herwig Bayer,M,17.0,187.0,71.0,Austria,AUT,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Freestyle
Anita Rosa Zarnowiecki (-Mieczkovicz),F,18.0,162.0,52.0,Sweden,SWE,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
"Nicholas ""Nick"" Ponting",M,30.0,173.0,76.0,Great Britain-2,GBR,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Men's Doubles
Gerald Freeman,M,19.0,178.0,62.0,Australia,AUS,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Light-Welterweight
Li Jingjing,F,27.0,169.0,55.0,China,CHN,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Singles, Slalom"
"Michael Wordsworth ""Mike"" Elliott",M,29.0,178.0,73.0,United States,USA,1972 Winter,1972,Winter,Sapporo,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres
"Matthew ""Matt"" McGovern",M,31.0,180.0,82.0,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Skiff
Chen Wei-Chen,M,26.0,178.0,80.0,Chinese Taipei,TPE,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball
Christine Scheiblich (-Hahn),F,21.0,172.0,68.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Single Sculls
Julie Gail Towers (-Richardson),F,27.0,165.0,62.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey
Karol Marian Zajc (-Sayons),M,22.0,175.0,74.0,Poland,POL,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Alpine Skiing,Alpine Skiing Men's Combined
"Michael John ""Mike"" Hart",M,20.0,186.0,84.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Pairs
Vincent Franois Marie Defrasne,M,28.0,174.0,63.0,France,FRA,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 12.5 kilometres Pursuit
Tavis Bailey,M,24.0,191.0,125.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Discus Throw
Lucie Hrstkov,F,20.0,163.0,63.0,Czech Republic,CZE,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Super G
"Frederik Pieter Christiaan ""Frik"" van Rooyen",M,23.0,186.0,72.0,South Africa,RSA,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Middleweight
Kristen Skjeldal,M,24.0,175.0,70.0,Norway,NOR,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres
Lee Mi-Gyeong,F,19.0,161.0,51.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Air Rifle, 10 metres"
Eric Anthony Teruo Sato,M,26.0,180.0,73.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball
"Johan Frithiof Isidor ""John"" Svanberg (-Swanberg)",M,26.0,168.0,59.0,Sweden,SWE,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 5 mile
Iryna Anatolivna Kostiuchenkova,F,27.0,171.0,78.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Javelin Throw
Lisa Steanes (-Critoph),F,26.0,170.0,61.0,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Duet
Gyula Nyri,M,27.0,186.0,73.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Men's Two Person Dinghy
Hiroko Nagamine,F,21.0,167.0,66.0,Japan-1,JPN,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Women's Doubles
Rdiger Kunze,M,26.0,188.0,95.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Fours
Denis Lambert,M,22.0,178.0,64.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Welterweight
Carl Niklas Lindqvist,M,23.0,182.0,79.0,Sweden,SWE,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Downhill
Julien Bontemps,M,29.0,183.0,72.0,France,FRA,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Men's Windsurfer
Bart Looije,M,23.0,182.0,80.0,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey
Yvonne Stoffel-Wagener,F,29.0,160.0,62.0,Luxembourg,LUX,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Balance Beam
Wilson Fernando Kuhn Minucci,M,27.0,200.0,90.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball
Rachael Lynch,F,30.0,179.0,68.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey
Rafael Martnez Barrena,M,24.0,164.0,62.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around
Kate O'Brien,F,28.0,168.0,70.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Keirin
Ye Chong,M,30.0,178.0,74.0,China,CHN,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's Foil, Individual"
Uis Lasmanis,M,24.0,197.0,93.0,Latvia,LAT,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Single Sculls
"Olabisi ""Bisi"" Afolabi",F,20.0,180.0,62.0,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 400 metres
Oleg Nikolayevich Grebnev,M,24.0,206.0,110.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Handball,Handball Men's Handball
Jure Koir,M,21.0,186.0,90.0,Slovenia,SLO,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined
"Joanne Susan Malar (-Morraele, -Ducheck)",F,24.0,173.0,63.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Individual Medley
"Yevgeny ""Danny"" Krasnov",M,22.0,184.0,83.0,Israel,ISR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Pole Vault
